2022-09-12 20:46:40.815 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.linkage.testForDate], using SpringBootContextLoader
2022-09-12 20:46:40.828 INFO  PID_IS_UNDEFINED --- [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.linkage.testForDate]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-12 20:46:41.083 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-09-12 20:46:41.112 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7d898981, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@48d61b48, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@68d279ec, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@258d79be, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@14f9390f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6c0d7c83, org.springframework.test.context.transaction.TransactionalTestExecutionListener@176b75f7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5965be2d, org.springframework.test.context.event.EventPublishingTestExecutionListener@409c54f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3e74829, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4f6f416f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3b8f0a79, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@71e693fa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@48793bef, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7d286fb6]
2022-09-12 20:46:41.634 INFO  7600 --- [main] com.example.linkage.testForDate - Starting testForDate using Java 1.8.0_311 on LAPTOP-UIPV54IS with PID 7600 (started by lenovo in D:\IDEAproject\linkage)
2022-09-12 20:46:41.634 INFO  7600 --- [main] com.example.linkage.testForDate - No active profile set, falling back to 1 default profile: "default"
2022-09-12 20:46:43.846 INFO  7600 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (https)
2022-09-12 20:46:43.862 INFO  7600 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-auto-1"]
2022-09-12 20:46:43.863 INFO  7600 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-12 20:46:43.863 INFO  7600 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-09-12 20:46:44.098 INFO  7600 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-12 20:46:44.098 INFO  7600 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2439 ms
2022-09-12 20:46:44.445 INFO  7600 --- [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-09-12 20:46:44.692 INFO  7600 --- [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-09-12 20:46:49.277 INFO  7600 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-auto-1"]
2022-09-12 20:46:49.358 INFO  7600 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-12 20:46:49.358 INFO  7600 --- [main] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-12 20:46:49.359 INFO  7600 --- [main] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-12 20:46:49.360 INFO  7600 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 55311 (https) with context path ''
2022-09-12 20:46:49.371 INFO  7600 --- [main] com.example.linkage.testForDate - Started testForDate in 8.202 seconds (JVM running for 9.833)
2022-09-12 20:46:50.265 INFO  7600 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-09-12 20:46:50.272 INFO  7600 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-09-12 20:49:36.279 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.linkage.testForDate], using SpringBootContextLoader
2022-09-12 20:49:36.290 INFO  PID_IS_UNDEFINED --- [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.linkage.testForDate]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-12 20:49:36.529 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-09-12 20:49:36.547 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60b4beb4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7fcf2fc1, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2141a12, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4196c360, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41294f8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@225129c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20435c40, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@573906eb, org.springframework.test.context.event.EventPublishingTestExecutionListener@479ceda0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6d07a63d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@571c5681, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@488d1cd7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@68dc098b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@38ba6ce3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@d278d2b]
2022-09-12 20:49:36.989 INFO  14272 --- [main] com.example.linkage.testForDate - Starting testForDate using Java 1.8.0_311 on LAPTOP-UIPV54IS with PID 14272 (started by lenovo in D:\IDEAproject\linkage)
2022-09-12 20:49:36.990 INFO  14272 --- [main] com.example.linkage.testForDate - No active profile set, falling back to 1 default profile: "default"
2022-09-12 20:49:38.871 INFO  14272 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (https)
2022-09-12 20:49:38.882 INFO  14272 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-auto-1"]
2022-09-12 20:49:38.883 INFO  14272 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-12 20:49:38.884 INFO  14272 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-09-12 20:49:39.108 INFO  14272 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-12 20:49:39.108 INFO  14272 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2088 ms
2022-09-12 20:49:39.410 INFO  14272 --- [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-09-12 20:49:39.678 INFO  14272 --- [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-09-12 20:49:41.533 INFO  14272 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-auto-1"]
2022-09-12 20:49:41.602 INFO  14272 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-12 20:49:41.603 INFO  14272 --- [main] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-12 20:49:41.604 INFO  14272 --- [main] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-12 20:49:41.605 INFO  14272 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 55389 (https) with context path ''
2022-09-12 20:49:41.618 INFO  14272 --- [main] com.example.linkage.testForDate - Started testForDate in 5.023 seconds (JVM running for 6.586)
2022-09-12 20:49:42.470 INFO  14272 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-09-12 20:49:42.480 INFO  14272 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-09-12 20:50:08.227 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.linkage.testForDate], using SpringBootContextLoader
2022-09-12 20:50:08.246 INFO  PID_IS_UNDEFINED --- [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.linkage.testForDate]: no resource found for suffixes {-context.xml, Context.groovy}.
